,response
student_16,"The quiz said I would take around 15 hours of off someone else' life based on my everyday choices which doesn't make me feel super amazing. I think this is a very interesting quiz, but the answer did make me feel troubled, and like I should try to make a change where I can to be more sustainable. An effective way to communicate this issue would be that we are always going to be taking advantage of others through what we buy, because they are producing it, which at a certain point is just the way the economy is going to work, but we can still try to limit the amount of taxing labor we place on others if we can help it. I think improving that awareness would lead to a better result on this quiz.  "
student_17,Food: Chicken breast is the 3rd best optionTransport: Petrol Car is the worst optionFlight: New York-San Francisco is the 3rd best optionYour choices took 14.05 hours off someone else's life due to negative impacts of climate change. This person likely resides in South Asia or Sub-Saharan Africa. 
student_21,"It made me feel bad in very simple terms. I think this could be an effective way to communicate this issue because it makes you personally feel very responsible and therefore more likely to take action. Still, I think the quiz should be a little more detailed when it comes to asking questions. Impact is much more nuanced and complicated.  "
student_22,It was kind of interesting and shocking how much my choices impacted other people's lives. I think this was an effective way to communicate this issue as it is shocking information and really opens your eyes to how much your life impacts the lives of others. I'm not sure what else could be improved as there is already enough information and it does a good job of displaying the information.  
student_23,"It is a very eye-opening experience. Very interesting idea that applies to everyone and lets them see the effect of their choices It is something I don't think about daily, so it did have a shocking effect on me  Providing this quiz to as many people as possible through different sources is the best way to communicate it. Maybe a social media campaign, where you ask random people on campus those 3 questions and filming their reaction to the results would be a good idea.  I think its good as is, short enough for people to take it, and relatable to everyone  "
student_24,I've done tests like this before but I've never gotten my results back as time someone else spent to make this happen. It makes me feel kind of down that someone spends that much time on something for me to enjoy it a fourth of the time. The most effective way to communicate this issue is to get it into the main stream media around the world so more people see and to have influential people talk about it. I think the best way things could be improved is both technological advancements and making these advancements more easily accessible so people don't spend as much time working for these things. 
student_25,I took off 7.67 hours off someone's life. Compared to the girls around who took 30 I feel good.  
student_26,"I think that it was a great way to communicate the issue.  I found out my score and it told me how I should change my habits.  I believe this is what people need.  Nothing could be improved with the quiz, it was great. "
student_27,"The quiz is a bit simple, and the idea of what connection you would take needs to be more relative. I chose to fly from New York to London because this is the only flight that made sense for me to do, as I live in the United States and do not see myself doing any other flight. I do not think it is too effective for me personally as it does not show the weight of my different choices as to what is more detrimental to the environment, such as my flight or eating tuna. I think showing how each choice individually affects the livelihood of other people makes a lot more sense.  "
student_28,"Taking 17 hours off someones life is a very frightening thought, but to be honest, I'm not sure I would change my actions.An effective way to communicate these things would be showing people these stats, but more importantly show them how everyone else would change and find a way to get everyone to commit. Too many people will say ""well X person isn't doing this, so I wont make a difference"" or ""the flight will takeoff anyways"" Find a way to have EVERYONE buy in!! "
student_29,"It was interesting, I do think it was an effective way to communicate the issue. The statistics and the wording worked really well. I think there could be maybe a couple more questions.  "
student_30,I feel like I could be more thoughtful and aware. I think it is. Nothing. 
student_31,"I believe it is quite interesting that my decisions directly affect the hours of someone else's life. It made me feel guilty, especially for using a car for transportation when that is the worst option of transportation. I believe a good way to communicate this issue is to see how your individual choices affect another person's life as this quick quiz did. I believe there could be more options or choices.  "
student_32,"After completing the quiz, I feel bad about the choices I make every day. I believe it is an effective way because it gives the reader a thought on how their everyday choices affect other people's lives. I feel that there could be a greater amount of questions that could improve this quiz in giving a more definitive answer or estimate. "
student_33,I feel as though we can improve the amount of electric cars there are in the world. They do not emit toxic chemicals to the atmosphere.  
student_34,This made me feel honestly horrible- many of my choices were in the better half of choices(they caused less negative impact than others) I try to be sustainable and i do think about the ways in which my actions impact the environment but I think that looking at it in direct correlation with how it shortens the lifespan and quality of life on individuals really make the gravity of the situation feel so much stronger. I think this was an incredibly effective and impactful way to communicate this and i think that my own actions could be improved by keeping this mindset at the forefront of my mind in my day to day lif e 
student_35,"I was honestly surprised because i thought i was pretty kowledgable on what lifestyle choices are most sustainable. Fish is a better protein than beef, but still not as good as a plant based alternative. I assumed a bus would be the best option but idk what the best was. and the flight was kinda random. despite knowing this i decreased a person in a developing countries life by almost 2 days. I think its weird that such normal choices are so bad for the world. "
student_37,"I thought the quiz was very interesting. I chose eggs which was the second best option, which made me feel good about myself, but for the next question I chose a gas powered car, which was the worst option. This made me feel like I am single handedly contributing to climate change by driving my car. Since moving to Boulder, I have been walking a lot more and driving less, which has made me feel like I am helping the environment more. My knee jerk reaction being to drive an unsustainable vehicle reflects how in our society, we want to travel places as quickly as possible, with disregard to our environment. I think this quiz needs to be more widespread, to show people that even small choices, like what you want to eat, greatly affect our environment. "
student_38,It definetly makes me feel more personalized with my experience in how i affect the enviorment and people around me 
student_39,"I chose lamb, petrol car, and Capetown-Amsterdam. I took 32.07 hours off someone's life. This made me surprised as I didn't know that some of these could impact someone's life so significantly. I think it was an effective way to communicate this issue as it was shocking. I think explaining why and how it impacts a person's life span would help to improve it.  "
student_40,I didnt expect my choices to be so harmful. It made me rethink the other ways that I could be negatively impacting some elses life. One thing that could be improved is informing people of the impact that their decisions have on the environment and others. 
student_41,"It made me more aware of my actions and how negatively it affected other people. This is a very effective way to make more people aware of their actions. I really like that it was short but very impactful once you learn how many hours. Personally, I don't think this can be improved. "
student_42,"It surprised me, I thought that the decisions I made were not very harmful, choosing chicken instead of red meat, and a train instead of a car, but they still very negatively impacted someone else's life.  "
student_43,"Not great, it made me feel more motivated to make better choices. Spread awareness about everyday choices that make environmental impacts. Transportation can be improved and more sustainable food options. "
student_44,It said I would take 16.32 hours off someone's life who likely lives in South Asia or Africa.  I think this was touching and an effective way to communicate this issue because it directly connected my actions and choices to someone's life.  I think what could be improved is more questions because there are other choices we make in our day-to day lives that could have similar impacts on other people around the world.   
student_45,"I think that this is a good way to put someones choices into perspective. This made me feel regretful of my decisions and upset with the current state of the world. Yes this was an effective and simple way to communicate this issue. This could be improved by adding other factors such as where you live, how much you waste and other factors that impact the environment.  "
student_46,It makes you realize how much transport our goods through just to get to the consumer. It is so difficult to live a sustainable life in the modern American world and it is honestly quite depressing. It makes me think about my choices more and how small choices genuinely do make an impact on the world.  An effective way to communicate this issue would be discouraging the advertisement of commercial flights and imported food as luxuries. Living humbly should be romanticized more rather than consuming as much as you possibly can.  Local foods and public transport are issues i think America needs to improve greatly upon.   
student_47,"I thought I did pretty well, considering my choices were 2nd, 4th, and 3rd best options on the respected list. I think it was an effective way to communicate this issue because it allows people to consider the options that they make in real life, giving it a more personal meaning.  "
student_48,It made me feel much more aware of my actions and their impacts on other people. This was a very effective way to communicate this issue because nobody knows their impact until they choose choices they would normally and see the exact impact on another's life. I think there could be an improvement on what choices would cause a different impact.  
student_49,"Food: Chicken breast is the 3rd best optionTransport: Domestic Flight is the 2nd worst optionFlight: Sydney-Singapore is the 4th worst optionYour choices took 17.04 hours off someone else's life due to the negative impacts of climate change. This person likely resides in South Asia or Sub-Saharan Africa.I think this is what I have to do. I think the fact that my actions take 17 hours off someone's life is simply not true, and based on very broad generalized statistics. I think this is the reason why I always find myself disenfranchised by the green movement. Even though I care, stuff like this, which is so hyperbolic, meant to just guilt me, and isn't even very true, makes me care even less. Ultimately I have to make the decisions I make, I'm from Singapore, and I have to fly there, I can't spend 2 months on a sailboat going across the Pacific. This sort of rhetoric and guilt-tripping is why, 90% of people pretend to care about the environment for optics but don't actually help the environment in any way, and why people in general make choices that seem green but are ultimately not. This is all about perception and never about the realities. "
student_50,How did it make you feel? It was strange to see a tangible number to my impact and also the accusation made me feel kind of bad. Was it an effective way to communicate this issue? I think the quiz was effective. What could be improved? It would be interesting to see a map of where I am more likely to impact. 
student_51,The results of the quiz honestly made me feel guilty more than anything because it's scary to realize that you have such a big impact on other peoples lives with silly things you wouldn't give two thoughts about. This is definitely an effective way to communicate the issue because it makes you personally think about your choices and shows you statistically its effects. I would improve my transportation for sure because seeing that that was the worst option made me feel super guilty and want to make some changes in my day to day. 
student_52,"My results took off 14.03 hours off of somebody's life. This is definitely shocking, as I feel like my answers aligned relatively with the average person. I think this was definitely an effective way to communicate this issue, as it puts into perspective how your choices may affect others. I think along with these results, it could have gone into detail about how each choice you make affects this statistic. "
student_53,It feels very strange to have the environmental impact of my choices measured in hours taken off of somebody else's life. It makes me want to reconsider some of my lifestyle choices to be a little more sustainable if possible. This did feel like a pretty effective way to communicate the idea of the consequences of our actions on others and the environment. The flight section could maybe be improved by asking what the longest flight the person taking the quiz has ever been on to give a more direct reflection of their environmental impact. 
student_54,It made me feel sad because of the choices I made it cost someone 17 hours of there own life. An effective way to communicate this issue is to communicate the importance of the different issues that each person makes. What could be improved is to make better eating choices and travel in a better way to lessen our impact on the globe.    
student_55,I liked this survey I found it interesting that little choices in everyday life effect other peoples life in ways.  Yes I thought it was a fast effect way to communicate this issue.  
student_56,It made me feel more conscientious about the choices I make. I don't want others to suffer because of my selfishness. It was an effective way to communicate. I think the thing that could be improved is the question about the international flight is not clear. 
student_58,I was shocked to see the result of the quiz. Putting it into the hours that i would be taking off of someone elses life put the environmental impact I have into perspective. My result was 13 hours off of someone else's life. This was a very effective way to communicate the impact. I think it could be improved by asking more questions. 
student_59,"Doing the survey on the link made me realize how much everything and all of your choices have an impact on our environment and climate change. I think this was an effective way to show people that everything has an effect on the environment, but I do wish to learn more about what decisions are the most environmentally friendly. I think that the only improvement I would make is having short texts explaining the reason for the rankings and the way they are being ranked. Overall, it was good to know!  "
student_61,"Thankfully, I didn't pick the worst options. It was sad to see those choices make such an impact. I'm unsure how I could live a life free of any harmful impact.  "
student_62,"How did it make you feel? - This was a shock to see, I didn't know that the stats of climate change could be linked to someone's life, especially the time that it would take off. Was it an effective way to communicate this issue? - Yes, this is a very effective way to communicate the issue as it plays on human emotion. What could be improved? - More questions, modeling something like the carbon footprint calculator, would make this quiz much better as it would be able to show a larger number. "
student_63,"I definitely think it is an effective way to communicate the issue. It honestly just surprised me but a lot of things they're asking about aren't things most people have an option to change. For example, the car you drive. A lot of people transport in the ways they can afford. Not everyone can afford a nice hybrid or electric car. As far as improvement goes we need to shift back to a vegetable diet. The widespread availability of meat is excessive and unnecessary. There are plenty of ways to get a healthy amount of protein from plants. "
student_64,1. I think it makes you realize how much we transport our goods just to get into the hands of the consumer. It shows that you are always getting it from a bigger source then what it may seem.  2. An effective way to communicate this issue would be to make people more aware of the situation at hand because some companies like to hide this from the consumer.  3. A way they could improve this could be is to promote more local food sources and move away from the public transport.  
student_65,"This quiz was powerful, it made me feel bad about making such a simple choice, like what protein I want to add to my meal. This was a very quick, effective way to communicate this issue, I think its very well done  "
student_66,"After utilizing the calculator, I've found out that my decisions take 16.6 hours off of somebody's life. While that's not even a full day, it really opens my eyes up to the fact that every single decision I make has an impact on the environment, and that if myself and others don't make better decisions reguarding sustainability, all of our lifespan's will be impacted greatly. This was a very effective way to communicate this issue because it honestly evokes a lot of guilt about the decisions that I make on a day to day basis. All I can say is wow.  "
student_67,"The quiz made me think about the choices I make on the daily that would just be second hand to me usually. I think it was an effective way to communicate the issue because by creating something interactive they were able to engage their audience better. I think they could improve by taking different peoples lifestyles into account, maybe you choose the type of place you live in before you take the quiz to make it more personal.  "
student_68,"It was an interesitng quiz, and it put into perspective the direct impacts that my choices have on others and the world. I didn't feel too much, mostly because I didn't see how my impact also affects me. An effective way to communicate this information is through education.  "
student_69,"This quiz made me realized that i should be more careful with a i consume on a day to day basis and the effective ways i could use to sustain my meal plans and transportation ways, i really love the website. "
student_70,"I took 14.53 hours off of someone else's life. This quiz was very eye-opening, and I am surprised that the options that I chose were as poor as they were. I think this was an effective way to communicate and more people should take this quiz. Make the quiz longer and allow more options.  "
student_71,"I am very confused how prawns was the third worst food option. It made me sad knowing that my life is taking away from someone else's. Yes, I believe this was a good way to communicate this issue since it shows me that I am causing a detriment to someone else's life. I need to make sure I track what I am doing so I cause less harm to the environment. "
student_72,"This activity really surprised me because I didn't realize the impact of greenhouse gas emissions from food, especially chicken and steak. It made me feel guilty because even though I thought I was aware of this, my day to day life takes away time from the lives of others. Yes this is effective because it tells you the hard truth and you can't argue with facts (16.72 hours opened my eyes up). I think it can be improved a little, only because it can inaccurate if people haven't traveled internationally.  "
student_73,I thought this was a very effective way at portraying the world because who would've thought that such small decisions I make could take a couple days off someone's life. Id like to see more options because we could get a real grasp on our total impact. 
student_74,"it makes you feel like an asshole, and makes you rethink your actions and what you could have done differently to reduce your burdens  it was a good way of showing the message through innocent questions  more questions would be better "
student_75,"This made me feel that what you eat, drive, and where you fly to can effect on someone life and how long they live. Yes it was because it shows that if you drive a petrol car you have a big effect one someone because of that and same with what you eat. What could be improved is what food you eat, what transportation you take and where you flight could be improved to help the world "
student_76,I think that it made me feel sad. I think it was an affective way to communicate the importance of the issues each person produces. I think i could improve about every decision i chose because they were all one of the worst possible options i could choose. 
student_77,I didn't realize how much my actions impacted other people. I think it was pretty effective at communicating the issue. The second question was confusing. 
student_78,"It made me feel bad since I took 13 hours off of someone else's life. Yes, I do think this is quite an effect way to communicate this issue since it says where you took some else's life. I think that I could improve on the choses I make on a day to day basis to become more sustainable and environmentally conscious.  "
student_80,It makes me feel upset that many of my life choices negatively impact the environment so severely. I will choose better forms of travel and research the food I am eating and its impacts on the environment. I think that making it known how horrible certain choices can be is the most beneficial thing to do.  
student_81,How did it make you feel? It made me sad that my choices are impacting others lives. Was it an effective way to communicate this issue? Yes definitely I think this is a good reality check for people to notice on their lives. What could be improved? Maybe just expanding the options. 
student_82,"Knowing the estimated impact that my choices have on another person's life really emphasized the importance of considering environmental impact when making decisions.    It was an effective way to communicate, as often when we make these choices we have no idea what impact it has.  This way, I can see how choices I make nearly every day are actively impacting them. Education regarding how these choices impact people indirectly would, in my opinion, make people much less likely to choose the more harmful options. "
student_83, Give your thoughts on this. How did it make you feel? Was it an effective way to communicate this issue? What could be improved? Made me think and opened my eyes to how powerful and important climate change and our resources are  
student_84,"It made me feel like I don't do enough in my life to help contribute to the slow of climate change, but I also feel as though I can't do much more due to financial issues. I thought it was pretty effective, since it tells you how much impact you cause. Improvements could be suggestions on ways to reduce your impact while still keeping to a budget and following your personal choices.  "
student_85,it made me feel sad knowing that everything I do has an impact on someone life. Travel could be improved the most in my opinion that has the biggest effect on people's lives. I think the quiz was a very effective way to communicate this issue as well as making sure everyone understands the things they do all have impacts on others.  
student_86,"This made me feel the weight of my decisions more. I never really thought about how choosing to have a certain food at a meal would take time off of someone's life. This is a good way to communicate this issue, giving a specific amount of time you took off someone's life. This could be improved by adding in more factors, and also by explaining how exactly the decisions directly affect other people. "
student_87,The quiz made me feel guilty for making decisions in my everyday life that have big impacts on others that I can't even comprehend. An effective way to communicate this issue is through education about our individual impact. Improvements could be made in the amount of sustainable options available to modern populations in public transportation and food options.  
student_88,This made me feel bad about my everyday choices that they could have such a direct impact on someone else's life. I think it effectively made me see that everyday things have a huge environmental impact however it didn't raise good alternatives. 
student_89,This quiz made me feel a little guilty. The results saying that you are taking time off of someone else's life puts it into perspective. Sometimes it is easy to forget that every choice you make has an impact.  This is an effective way because it shows you the impact and also shows the other better choices that could be made on each step.  I don't know what could be improved. Maybe adding some sort of way to go on after the quiz and learn more about how to have a smaller impact wherever you are in the world.  
student_90,"This activity made me feel pretty bad about my choices. I think knowing this is a very good thing, because I will now think about this before I choose if I am going to eat cheese, or travel to Austrailia. I think this is because it using the technique of pathos that taps into guilt that my choices are harming other people. Guilt is a good way to create change. It could be a fuller quiz with more questions and I would have taken it to know more. "
student_91,It makes sense that there are different impacts on your decisions. It doesn't make me feel bad but it shows a different perspective about the decisions you make in your life. I think its an effective way to communicate the idea but it doesn't have the greatest effect. I don't know what could be improved.  
student_92,How did it make you feel? This made me feel fortunate and also confused. Was it an effective way to communicate this issue? It was mostly effective but I would like to know exactly how I'm taking time off of someone else's life. What could be improved? Specific reasons that calculate the time given and also how different choices impact the time. 
student_93,"I found the results of the quiz to be very interesting. It made me feel a bit guilty that my options in life would negate the livelihood of someone else's, but I am also aware that it is not a huge difference. I think it is more of the concept of ""taking hours off of a life"" that affected me. I think taking away the concept of guilt would improve this communication of the issue. "
student_95,"The way that the results of this assignment were phrased was really unsettling, but important to see. Seeing that something I do can impact someone else's life due to climate change was eye opening, as it is usually never put into the terms of how it impacts people. "
student_96,"The quiz that was given really put into perspective what impact my small choices in life have on other people and the environment. I believe that this is a quick and easy way to really communicate the issue, since these are choices people make all the time every day. The only thing that could be improved would be to give more answer choices to questions. "
student_97,"This activity actually gives some good perspective on the everyday choices you make. It is definitely saddening that others are this heavily impacted based off our every day choices as well. I think the most effective way to communicate this issue is through publicizing it, making it well known information. There definitely could be a fuller picture as well to improve this, having more background information. "
student_98,"I was shown to take 14.5 hours off of someone's life and it made me rethink the everyday actions that I choose to follow through with. I need to be more mindful about how and when to drive more mindfully. Making sure that I can carpool, be more careful about what I eat, and choose travel trips wisely etc. Knowing how meat effects the environment already I have tried to implement days out of the week where I eat plant based, and also without a car in boulder it is easy to walk to wherever I need to go. An effective way to communicate this issue is to inform other people about how much they are taking off of someone else's life and hopefully they understand and follow their leads. This can be improved by showing people to do the better option. "
student_99,"1. I was trying to be honest with my answers and my choices took 13.43 hours off someone's life. 2. It made me feel somewhere in between, good because I answered accurately and honestly but bad because of the negative impact of my choices.  3. I think it is a good way to show how our decisions, whether selfish or not always have an impact.  4. I think it doesnt need to be improved it gave good choices to choose from. If anything maybe have an option for not applicable in the flight section since not everyone has the means to travel.  "
student_100,This quiz made me think differently about my environmental impact. It said with my choices I would take 16.67 hours off someone else's life due to negative impacts of climate change. It is important that we know how we can decrease our environmental impacts with transportation and our food choices. We can communicate this issue by advertising and allowing more people to take this quiz. We need new strategies to improve efficiency and reduce environmental impacts.  
student_101,"I didn't know that my lifestyle choices had that much of an effect on the environment. It made me feel like I need to be more conscious of what I do and how it affects others. Yes, it showed how much people can affect the environment, even if they are trying not to. It could be improved by showing which areas are affected the most and who.  "
student_102,Give your thoughts on this. I find it very interesting how it gives the time 'taken' off someones life because of my impact.  How did it make you feel? It makes me feel a bit more conscious of my impact and what I should do better to help the environment and ourselves.  Was it an effective way to communicate this issue? I do not think it was an effective way to communicate this issue because environmental impacts do not directly correlate to human live.  What could be improved? A different correlation.  
student_103,I was shocked at how much 3 simple choices can affect climate change and ultimately take away as many as 300 hours away from someone's life. An effective way to communicate this issue would be through the mass distribution of a survey like this. Not enough people know about the critical effect making simple everyday life decisions can have on those who live in less developed countries more susceptible to climate change. I think there is a huge problem with the amount of emissions planes give off. We're on route to fixing the problem with automobiles. Our next step is to find more sustainable ways of flying. 
student_104,"It's shocking and slightly humbling, but I think it is an effective way to show us how much we have an impact as an individual. I think safer public transportation and more education on the topic would help. "
student_105,I thought this was really interesting to see. It was weird to see how many hours I would take off of someone's life due to my choices and I've never thought about it that way before. It was effective I think because it made me think about the choices I made and how I could've chosen more sustainable practices. Something that could be improved is more choices to choose from or maybe longer to make more decisions and think about them. 
student_106,This quiz was interesting to me. I think that it maybe estimates the time off of someones life too easily and off of too little factors. I did however pick the worst options or close to the worst options in every category which i did not realize had that big of an impact. I think that the results were a bit shocking and it was an effective way to communicate the issue. The only way i could improve it is to add a description of your choices and why they are the worst when you get your results. 
student_107,"I took 38.6 hours off of someone else's life. That made me feel horrible, actually, and I need to make some lifestyle change. This was a very effective way to communicate this because it very starkly shows you the consequences on someone else's life. I would add a graph showing how each option effects and what choices we can make to improve.  "
student_108,"I was surprised that those choices took 32 hours of someone's life. I was being truthful and not trying to choose sustainable options, but I feel like I could make way better choices that would have a better impact on me and consequently on others. That quiz is an effective way to communicate the issue since it gives you a dire response and shows you the direct impact on your choices. I think my choices of travel and protein could be improved, although the flights I can't really help unless I didn't need to go there. "
student_109,"1. Its very shocking to see how my actions could be effecting others especially those in less developed countries. 2.It makes me feel very privileged and selfish. 3. yes, this quiz communicated its message well. 4. The quiz could be more personable. the questions they asked didn't give me the answers i wanted   "
student_110,This quiz made me realize how my decisions impact others greatly. I think that it was effective but needs to be more effective. This is a problem that must be discussed more than it is. I think that knowing the problems you can cause will improve our decisions 
student_111,"This didn't really make me feel anything. I don't believe it's effective because it doesn't tell you anything about why your choices have the impact they have, what you could do better, how other people's choices are impacting the issue, and how much would change if you improved. "
student_112,The quiz was intriguing but the results page only shows the hours of impact your answers had and doesn't show the possible outcomes from other answer choices. This could better educate people on which choices are sustainable and which choices are not. 
student_113,"It puts in perspective the choices we make everyday and how they affect the environment and others. At the end when it said ""my decisions"" took 16.3 hours off of someones life it made it much more personal. It makes you stop and think about what alternatives are available and how they may affect the people who suffer most. "
student_114,"Its an amazing website as it gives you a perspective that you have never seen or experienced before, it made me feel more concern and thoughtful of my choices as there is a correlation to the choices i make and other peoples lives that id be affecting, Its a really effective way to communicate this issue as the questions are pretty simple daily questions that i never thought would effect anyone negatively. improvements could be by explaining why and how the choices i make affect  others negatively, for example why steak beef was the worst option, how does it effect people? "
student_115,"I like the point of yes there is awareness, but just because you know about something, why will you care...  What I like about this is that it makes climate change much more personable.  Something that we discussed in my last recitation was that when someone dies we will attribute the death to the direct cause like cancer... We never say the cause of death was the environmental factors that played into a person getting cancer. I think this reframing of how we talk about environmental health can help you communicate the issue you are addressing.  "
student_116,"I think that I have a large ecological footprint and that in the future, I need to do things to save energy and minimize my impact. It makes me feel a little bit shocked to see how much I impact other people. I think that it was an effective way to communicate this issue.  "
student_117,"At the end of my submission, it said that my choices took 16.4 hours off of someone’s life, most likely in East Asia. This definitely makes me feel bad, and knowing this now I would try and change my choices if I knew what was more sustainable. I think that this was an effective way to relay this issue but it also didn’t go into detail on how those things cause that outcome. How does eating chicken as my first choice and taking transportation cause someone to die 16.4 house prior? I think that after revealing this info, it would be helpful if there was a why. "
student_118,"Clearly after seeing the typed of affects that my everyday choices have on many other people's lives are very impactful. Making it knows to almost all students could be a great way of spreading this awareness, and to improve it we all have to do our best to make better choices in terms of what we eat and what we use to travel etc.  "
student_119,I really liked this quiz. It was straightforward and to the point and easy to navigate. It made me realize how severe my actions are and that even though I don't think about it my actions do affect others. I think an effective way to communicate this issue is make it so people realize the consequences of their actions. Before this I had no idea that I affect others this much. I think the quiz was great and doesn't need to be improved. 
student_120,"For food I chose eggs, for transportation i chose plug in hybrid, and for the flight I chose Capetown to Amsterdam. I was so taken back by my results beacuse it was 31.57 hours taken off of someone else’s life. I am vegetarian so I know im more sustainable than others but clearly I make up for it in other areas. This was an effective way to communicate this issue beacuse this is someone’s life. I will continue to take public trsnapsotation. "
student_121,This quiz made me a little bad about my choices. An effective way to communicate this issue is by being more mindful about certain decisions that impact the environment. My decisions could be improved.  
student_122,"It made me feel a little guilty for the life of someone else. It was effective, although a more comprehensive test talking about more factors would be good. "
student_123,"Give your thoughts on this. I think it's interesting to see how even minor choices in one's lifer can impact the environment so much. Even things like food choice. How did it make you feel? It makes me feel worries for the choices I make, It makes me want to make sure all the choices I make are as sustainable as tehy can be, even if it's not a directly effected thing. Was it an effective way to communicate this issue? I think it's very effective in communicating the problem with these small decisions that people don't think about and their impacts What could be improved? Maybe a couple more questions to hammer the point home. "
student_124,"This definitely made me think more about the impact of each of my descisions on the worl around me. I think that was a good way to illustrate this point, as it is only three minor decisions that could reasonable occur in a weekend, yet it took about the same time off of someone’s life. Especially as you are told what region it affects. I think that we need to improve mass transportation, making it greener and cleaner, as everything needs to be transported, and making that greener will cut a lot of emissions and the impact. "
student_125,It makes me think more about my decisions and how much it is impacting other people lives in a negative way. I think just thinking more about everything I do because just because I am able to do it doesnt mean that it is good for the enviroment or for someones life.  
student_127,"It made me feel really guilty, especially the way that it was worded. Especially regarding the fact that it told me not only that my choices took hours off of someone else's life, but that they told me that it was from a part of the world much less affluent then where I am from. I think it needs to be more well known to everyone the impact that their decisions make one everyone around them, in order to have people need to make better decisions. "
student_128,"This was upsetting for me to see and was a bit shocking. I did not expect for my impact to be so great (16.4 hours off someone's life). I do think this is an effective way to communicate the issue, but I do not think it is a way for actual change to be made. People can see these stats but they don't have the actual tools to make change. I think real life ways to improve your score would be helpful! Like for the plan one or the traveling the far distance that is too far to walk or bike to there aren't really other options other than take a petrol car or have a connecting flight. So, this can make it hard for people to change their ways.  "
student_129,This quiz made me feel a bit bad because for 2 of the answers I chose the worst option possible and probably would not change my answers. I think that an effective way to communicate this issue is to post this quiz in the mainstream media so that more people could take it and see how much damage they are causing to the environment. I think that finding more sustainable ways to carry out everyday tasks would be a way to improve how we treat our environment. 
student_130,"I feel that it does make you stop and rethink your decisions. It doesn't make me feel the best about my lifestyle. I don't think it is a somewhat good way of communicating the issue, but I would have never known about this unless I had shared it.  The dispersion of the issue needs to be more widespread and communicating it in this way makes it nearly impossible for a majority of people to know about the issue due to the style of communication.  "
student_132,Interesting way of showing our impact on other people. This made me fell like shit. I don't know I'm not a phycologist. I don't know for the same reason. 
